title,mp3_url,archive_url,synopsis,broadcast_date,physical_format,duration,digital_format,ownership,language,program_sponsor,broadcast_datetime,broadcast_year,broadcast_month,broadcast_monthday,has_mp3_url
Studs Terkel comments and presents Fiesta: a Chicago Happening ; part 2,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56266.mp3,/programs/studs-terkel-comments-and-presents-fiesta-chicago-happening-part-2,"Studs Terkel interviews José ""Cha Cha"" Jiménez, founder of the Young Lords. At the time of the interview, Jiménez is preparing a picnic for the local Puerto Ricans. However, he is being harassed by the police.","Aug. 23, 1969","1 sound tape reel (ca. 56 min.) : 10 1/2 in. Original program-T2509A., 1 sound tape reel (ca. 55.40 min.) : 10 1/2 in. Copy-T2509B.","55 minutes, 39 seconds",WAV,The Chicago History Museum,English,,1969-08-23,1969.0,8.0,23.0,True
"John Kobler discusses his book ""Capone""",https://s3.amazonaws.com/wfmt-studs-terkel/published%2F23442.mp3,/programs/john-kobler-discusses-his-book-capone,,"Aug. 23, 1971",1 sound tape reel (ca. 50 min.) : 10 1/2 in.,"50 minutes, 34 seconds",WAV,The Chicago History Museum,English,,1971-08-23,1971.0,8.0,23.0,True
"Patrick Murphy discusses the book, ""Our Kindly Parent--The State"".",https://s3.amazonaws.com/wfmt-studs-terkel/published/11321.mp3,/programs/patrick-murphy-discusses-book-our-kindly-parent-state,"Studs discusses the book, ""Our Kindly Parent--The State,"" and interviewing the author Patrick Murphy.  They discuss the inadequate juvenile justice and reform system extensively.  
[includes an excerpt from interview with Lisa Richette, author of ""Throw away children"" 1925149-3-1 and -3-2].","Aug. 23, 1974",1 sound tape reel (ca. 55.39min.) :: 10 1/2 in.,"55 minutes, 54 seconds",WAV,The Chicago History Museum,English,,1974-08-23,1974.0,8.0,23.0,True
"Mckinley Olson discusses the book ""Unacceptable Risk: The Nuclear Power Controversy."" and the dangers of atomic energy",https://s3.amazonaws.com/wfmt-studs-terkel/published/11648.mp3,/programs/mckinley-olson-discusses-book-unacceptable-risk-nuclear-power-controversy-and-dangers,"The interview begins with Mr Olson reading the first 3 paragraphs of his book. McKinley Olson discusses the dangers of atomic energy plants and the book ""Unacceptable Risk: The Nuclear Power Controversy.""  Mr Olson describes several forms of alternative/renewable energy sources as a safe replacement of nuclear energy.","Aug. 23, 1974",1 sound tape reel (ca. 53.45 min.) : 10 1/2 in.,"58 minutes, 50 seconds",WAV,The Chicago History Museum,English,,1974-08-23,1974.0,8.0,23.0,True
Terkel interviews Maxene Andrews of The Andrews Sisters,https://s3.amazonaws.com/wfmt-studs-terkel/published/19513.mp3,/programs/terkel-interviews-maxene-andrews-andrews-sisters,"Maxene Andrews reminisces over Andrews Sisters songs with Studs Terkel.  She acknowledges the heavy influence the Boswell Sisters played in the creation of their image.  She relays musical stories surrounding songs in Abbott and Costello such as ""Bugle Boy"" from their movie ""Buck Privates"".  How they found the song ""Mir Bist Du Schon"" and Sammy Cahn and Saul Chaplin helped with the lyrics.  How song pluggers brought The Andrews Sisters ""Tip-Pi-Tin"".  How ""Apple Blossom Time"" helped an injured soldier at Oak Knoll Hospital upon his return to the states.  The influence of Calypso music through the song ""Rum and Coca-Cola"" as brought to them by Morey Amsterdam.  From Vaudeville, to the Depression, to World War II and the history of Jack and David Kapp of Decca Records, Maxene enlightens by remembering her songs.","Aug. 23, 1982",1 sound tape reel (ca. 53.26 min.) : 10 1/2 in. Edited copy-T3024.93.,36 minutes,WAV,The Chicago History Museum,English,,1982-08-23,1982.0,8.0,23.0,True
"Interviewing author, screenwriter and director John Sayles",https://wfmt-studs-terkel.s3.amazonaws.com/published/35256.mp3,/programs/interviewing-author-screenwriter-and-director-john-sayles,,"Aug. 23, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"33 minutes, 19 seconds",WAV,The Chicago History Museum,English,,1988-08-23,1988.0,8.0,23.0,True
Studs Terkel presents a performance of the Rhos Welsh Choir,,/programs/studs-terkel-presents-performance-rhos-welsh-choir,Terkel comments and presents musical performance by the Rhos Welsh Choir,"Aug. 23, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 24 seconds",WAV,The Chicago History Museum,English,,1988-08-23,1988.0,8.0,23.0,False
"Richard Wang discusses Charles Mingus' ""Epitaph""",,/programs/richard-wang-discusses-charles-mingus,"Jazz scholar and historian Richard Wang discusses Charles Mingus' ""Epitaph"". Performances of the Epitaph are played throughout the program. Includes an excerpt of a 1971 interview with Charles Mingus.","Aug. 23, 1990",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 37 seconds",WAV,The Chicago History Museum,English,,1990-08-23,1990.0,8.0,23.0,False
"Interviewing Werner Klemperer, son of German conductor and composer Otto Klemperer",,/programs/interviewing-werner-klemperer-son-german-conductor-and-composer-otto-klemperer,,"Aug. 23, 1993",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 9 seconds",WAV,The Chicago History Museum,English,,1993-08-23,1993.0,8.0,23.0,False
Dr. Bertram Carnow discusses the environment and pollution,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56496.mp3,/programs/dr-bertram-carnow-discusses-environment-and-pollution,"Interviewing Dr. Bertram Carnow about environmental health, air pollution, and occupational diseases.","Aug. 24, 1973",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 24 seconds",WAV,The Chicago History Museum,English,,1973-08-24,1973.0,8.0,24.0,True
Billy Taylor discusses the people and music that influenced his career as a jazz composer and pianist,https://s3.amazonaws.com/wfmt-studs-terkel/published/20073.mp3,/programs/billy-taylor-discusses-people-and-music-influenced-his-career-jazz-composer-and-pianist,Studs interviews Billy Taylor about his performance at the Rick's Cafe at the Holiday Inn in Chicago.  They discuss what has influenced Billy Taylor's jazz music.  Taylor explains some of his work with various other jazz musicians.  This edited version does not include the music recordings.,"Aug. 24, 1977",1 sound tape reel (ca. 55.13 min.) : 10 1/2 in.,"22 minutes, 38 seconds",WAV,The Chicago History Museum,English,,1977-08-24,1977.0,8.0,24.0,True
Discussing Danish tenor Aksel Schiotz with his widow Gerd Schiotz,,/programs/discussing-danish-tenor-aksel-schiotz-his-widow-gerd-schiotz,,"Aug. 24, 1977",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"49 minutes, 3 seconds",WAV,The Chicago History Museum,English,,1977-08-24,1977.0,8.0,24.0,False
Interviewing director and acting coach Peter Wood and Theatre School of DePaul University alumna and Chicago theater historian Lucille Strauss,,/programs/interviewing-director-and-acting-coach-peter-wood-and-theatre-school-depaul-university,,"Aug. 24, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"56 minutes, 33 seconds",WAV,The Chicago History Museum,English,,1988-08-24,1988.0,8.0,24.0,False
Anthony Braxton discusses his music and jazz,https://wfmt-studs-terkel.s3.amazonaws.com/published/33700.mp3,/programs/anthony-braxton-discusses-his-music-and-jazz,Musician Anthony Braxton speaks with Studs Terkel about his music and the various musicians who have influenced him.,"Aug. 24, 1989",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"32 minutes, 2 seconds",WAV,The Chicago History Museum,English,,1989-08-24,1989.0,8.0,24.0,True
Interview with members of the band Boukman Eksperyans,,/programs/interview-members-band-boukman-eksperyans,Interviewing members of the band Boukman Eksperyans.,"Aug. 24, 1993",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 30 seconds",WAV,The Chicago History Museum,English,,1993-08-24,1993.0,8.0,24.0,False
Interviewing Elma Stuckey,https://wfmt-studs-terkel.s3.amazonaws.com/published/42556.mp3,/programs/interviewing-elma-stuckey,,"Aug. 25, 1963",1 sound tape reel (ca. 60 min.) : 7 in.,"29 minutes, 27 seconds",WAV,The Chicago History Museum,English,,1963-08-25,1963.0,8.0,25.0,True
Dr. Sam Borushek discusses health conditions of Guatemalan indigenous groups,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F58773.mp3,/programs/dr-sam-borushek-discusses-health-conditions-guatemalan-indigenous-groups,"Dr. Sam Borushek discusses his time as a doctor serving the indigenous groups in Guatemala, especially regarding the preventable health issues of the indigenous people.","Aug. 25, 1971",1 sound tape reel (ca. 50 min.) : 10 1/2 in.,"45 minutes, 29 seconds",WAV,The Chicago History Museum,English,,1971-08-25,1971.0,8.0,25.0,True
Interviewing three third-world students,https://s3.amazonaws.com/wfmt-studs-terkel/published/10299.mp3,/programs/interviewing-three-third-world-students,"Interviewing three third-world students: Annan Kumar from India, Juan Luis Moreno from Panama, and Nelson Ndove from Mozambique.","Aug. 25, 1976",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"54 minutes, 23 seconds",WAV,The Chicago History Museum,English,,1976-08-25,1976.0,8.0,25.0,True
Harriet Choice discusses the career of Duke Ellington and promotes the Grant Park 5th Annual Tribute to Duke Ellington concert,https://s3.amazonaws.com/wfmt-studs-terkel/published/19596.mp3,/programs/harriet-choice-discusses-career-duke-ellington-and-promotes-grant-park-5th-annual-tribute,"Studs interviews Harriet Choice, Jazz critic for the Chicago Tribune.  They reflect on the music, talent and career of Duke Ellington.  Choice describes several Ellington songs and the history behind them.  She shares how Duke created music and wrote specifically for individual people.  Studs reads what Ellington wrote about his song “Harlem Airshaft.”  Choice and Terkel reflect on Ellington’s music and those who made music with him.  Choice shares how a Duke Ellington performance at the Newport Jazz Festival rejuvenated Ellington’s career.  The musical numbers are removed from this edited version of the original recording.","Aug. 25, 1978",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"20 minutes, 5 seconds",WAV,The Chicago History Museum,English,,1978-08-25,1978.0,8.0,25.0,True
John Anthony Ciardi in conversation with Studs Terkel,,/programs/john-anthony-ciardi-conversation-studs-terkel,,"Aug. 25, 1980",1 sound tape reel (ca. 51.55 min.) : 10 1/2 in.,"51 minutes, 58 seconds",WAV,The Chicago History Museum,English,,1980-08-25,1980.0,8.0,25.0,False
"Interviewing jazz cornetist Jimmy McPartland and jazz pianist and radio host of ""Piano Jazz,"" Marian McPartland",,/programs/interviewing-jazz-cornetist-jimmy-mcpartland-and-jazz-pianist-and-radio-host-piano-jazz,,"Aug. 25, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"56 minutes, 48 seconds",WAV,The Chicago History Museum,English,,1986-08-25,1986.0,8.0,25.0,False
Interview with Jared Brown,,/programs/interview-jared-brown,"Discussing ""Zero Mostel: A Biography"" (published by Atheneum) with the author Jared Brown.","Aug. 25, 1989",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 54 seconds",WAV,The Chicago History Museum,English,,1989-08-25,1989.0,8.0,25.0,False
"Interviewing Sam Levene and Monica May from the cast of ""Make a Million""",https://wfmt-studs-terkel.s3.amazonaws.com/published/41589.mp3,/programs/interviewing-sam-levene-and-monica-may-cast-make-million,,"Aug. 26, 1960",1 sound tape reel (ca. 40 min.) : 10 1/2 in.,"39 minutes, 50 seconds",WAV,The Chicago History Museum,English,,1960-08-26,1960.0,8.0,26.0,True
Interviewing Chad Mitchell,,/programs/interviewing-chad-mitchell,,"Aug. 26, 1963",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"38 minutes, 2 seconds",WAV,The Chicago History Museum,English,,1963-08-26,1963.0,8.0,26.0,False
Oceanographer Jacques Cousteau talks with Studs Terkel,https://s3.amazonaws.com/wfmt-studs-terkel/published/7099.mp3,/programs/oceanographer-jacques-cousteau-talks-studs-terkel,Oceanographer Jacques Cousteau discusses man's effect on the planet.  Includes a clip with whale sounds and statements by Joan McIntyre.,"Aug. 26, 1976",1 sound tape reel (ca. 54.20 min.) : 10 1/2 in.,"54 minutes, 8 seconds",WAV,The Chicago History Museum,English,,1976-08-26,1976.0,8.0,26.0,True
Laurel Snyder discusses prostitution and the COYOTE organization,,/programs/laurel-snyder-discusses-prostitution-and-coyote-organization,"Laurel Snyder describes to Studs Terkel her journey into prostitution and her involvement in the organization COYOTE, which advocates for the rights of sex workers and the decriminalization of prostitution.","Aug. 26, 1980",1 sound tape reel (ca. 51.37 min.) : 10 1/2 in.,"51 minutes, 45 seconds",WAV,The Chicago History Museum,English,,1980-08-26,1980.0,8.0,26.0,False
Parents of school children talk about integration and busing,https://s3.amazonaws.com/wfmt-studs-terkel/published/8549.mp3,/programs/parents-school-children-talk-about-integration-and-busing,"Interviewing Karen Grzybek, Barbara Tekiela and Mark Smith, parents of Chicago schoolchildren.","Aug. 26, 1981",1 sound tape reel (ca. 46.59 min.) : 10 1/2 in.,"47 minutes, 2 seconds",WAV,The Chicago History Museum,English,,1981-08-26,1981.0,8.0,26.0,True
"Barbara Branden discusses ""The Passion of Ayn Rand""",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F55715.mp3,/programs/barbara-branden-discusses-passion-ayn-rand,"Discussing ""The Passion of Ayn Rand"" (published by Doubleday) with the author Barbara Branden.","Aug. 26, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"50 minutes, 53 seconds",WAV,The Chicago History Museum,English,,1986-08-26,1986.0,8.0,26.0,True
Dan La Botz in conversation with Studs Terkel,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F32640.mp3,/programs/dan-la-botz-conversation-studs-terkel,"Discussing the book ""Rank and File Rebellion: Teamsters for a Democratic Union"" (published by Verso) with the author, labor activist and historian Dan La Botz.","Aug. 26, 1991",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"50 minutes, 38 seconds",WAV,The Chicago History Museum,English,,1991-08-26,1991.0,8.0,26.0,True
G. A. Arbatov in conversation with Studs Terkel,,/programs/g-arbatov-conversation-studs-terkel,"Discussing the book ""The System: An Insider's Live in Soviet Politics"" (published by Times Books) with the author Georgi Arbatov.","Aug. 26, 1992",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,,WAV,The Chicago History Museum,English,,1992-08-26,1992.0,8.0,26.0,False
"Interviewing author Will D. Campbell and discussing his book ""Providence""",,/programs/interviewing-author-will-d-campbell-and-discussing-his-book-providence,,"Aug. 26, 1992",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"50 minutes, 53 seconds",,Chicago History Museum,,,1992-08-26,1992.0,8.0,26.0,False
"Interviewing Jim Jennings, Jake Dowling and Jim Hastings, members of The International Brotherhood of Electrical Workers (IBEW)",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F50377.mp3,/programs/interviewing-jim-jennings-jake-dowling-and-jim-hastings-members-international-brotherhood,,"Aug. 26, 1993",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 48 seconds",WAV,The Chicago History Museum,English,,1993-08-26,1993.0,8.0,26.0,True
"Discussing the album ""Folksongs of the American dream,"" with folksinger Joe Glazer",,/programs/discussing-album-folksongs-american-dream-folksinger-joe-glazer,,"Aug. 26, 1994",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"55 minutes, 11 seconds",WAV,The Chicago History Museum,English,,1994-08-26,1994.0,8.0,26.0,False
Interviewing Richard Tucker,,/programs/interviewing-richard-tucker,,"Aug. 27, 1962",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"51 minutes, 14 seconds",WAV,The Chicago History Museum,English,,1962-08-27,1962.0,8.0,27.0,False
"Interviewing people on the train ride to Washington, D.C., going to the civil rights March on Washington ; part 2",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F40576.mp3,/programs/interviewing-people-train-ride-washington-dc-going-civil-rights-march-washington-part-2,,"Aug. 27, 1963",2 sound tape reels (ca. 60 min.),"1 hour, 33 minutes, 33 seconds",,The Chicago History Museum,,,1963-08-27,1963.0,8.0,27.0,True
"Interviewing people on the train ride to Washington, D.C., going to the civil rights March on Washington ; part 1",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F40582.mp3,/programs/interviewing-people-train-ride-washington-dc-going-civil-rights-march-washington-part-1,"people on the train ride to Washington, D.C","Aug. 27, 1963","2 sound tape reels (ca. 60 min.) : 10 1/2 in. Original program-T1444A,B., 2 sound tape reels (ca. 60 min.) : 10 1/2 in. Copy-T1444C,D., 2 sound tape reels (ca. 60 min.)","1 hour, 34 minutes, 4 seconds",WAV,The Chicago History Museum,English,,1963-08-27,1963.0,8.0,27.0,True
"Interviewing people on the train ride to Washington, D.C., going to the civil rights March on Washington ; part 3",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F40588.mp3,/programs/interviewing-people-train-ride-washington-dc-going-civil-rights-march-washington-part-3,,"Aug. 27, 1963",2 sound tape reels (ca. 60 min.),"50 minutes, 23 seconds",,The Chicago History Museum,,,1963-08-27,1963.0,8.0,27.0,True
"Interviewing people on the train ride to Washington, D.C., going to the civil rights March on Washington ; part 4",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F40593.mp3,/programs/interviewing-people-train-ride-washington-dc-going-civil-rights-march-washington-part-4,,"Aug. 27, 1963",2 sound tape reels (ca. 60 min.),"52 minutes, 11 seconds",,The Chicago History Museum,,,1963-08-27,1963.0,8.0,27.0,True
"Richard Atcheison discusses his book ""The Bearded Lady: Going on the Commune Trip and Beyond""",https://s3.amazonaws.com/wfmt-studs-terkel/published/13816.mp3,/programs/richard-atcheison-discusses-his-book-bearded-lady-going-commune-trip-and-beyond,"Discussing the book ""The Bearded Lady: Going on the Commune Trip and Beyond"" with author Richard Atcheison. ","Aug. 27, 1971",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"55 minutes, 9 seconds",WAV,The Chicago History Museum,English,,1971-08-27,1971.0,8.0,27.0,True
"Lawrence Foster discusses his book ""Religion and Sexuality""",,/programs/lawrence-foster-discusses-his-book-religion-and-sexuality,"Celibacy, a new religion, group marriages and unorthodox life styles are covered in Lawrence Foster's book, ""Religion and Sexuality: the Shakers, the Mormons and the Oneida Community"". Foster said these new groups came about because people were looking for something that was missing in their lives.","Aug. 27, 1981",1 sound tape reel (ca. 55.30 min.) : 10 1/2 in.,"55 minutes, 36 seconds",WAV,The Chicago History Museum,English,,1981-08-27,1981.0,8.0,27.0,False
Interview with E. G. Marshall and Arnold Sundgaard,https://s3.amazonaws.com/wfmt-studs-terkel/published%2F21296.mp3,/programs/interview-e-g-marshall-and-arnold-sundgaard,Interviewing E. G. Marshall and Arnold Sundgaard.,"Aug. 27, 1981",1 sound tape reel (ca. 53.24 min.) : 10 1/2 in.,"53 minutes, 32 seconds",WAV,The Chicago History Museum,English,,1981-08-27,1981.0,8.0,27.0,True
"Carlos Fuentes discusses his book ""The Old Gringo""",,/programs/carlos-fuentes-discusses-his-book-old-gringo,"Discussing the novel ""The Old Gringo"" (published by Harper & Row) with the author, novelist and essayist Carlos Fuentes.","Aug. 27, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"45 minutes, 41 seconds",WAV,The Chicago History Museum,English,,1986-08-27,1986.0,8.0,27.0,False
"John Vinci, David Van Zanten, and Wim de Wit discuss the Chicago Historical Society’s exhibition “Louis Sullivan: The Function of Ornament”",,/programs/discussing-chicago-historical-societys-exhibition-louis-sullivan-function-ornament,"Architect John Vinci, art and architectural historian David Van Zanten, and curator Wim de Wit discuss Louis Sullivan and the Chicago Historical Society’s exhibition “Louis Sullivan: The Function of Ornament”. This program includes a clip from 1956 of Frank Lloyd Wright talking about Sullivan.","Aug. 27, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,53 minutes,WAV,The Chicago History Museum,English,,1986-08-27,1986.0,8.0,27.0,False
"Discussing the book ""In the Name of the Family: Rethinking Family Values in the Postmodern Age"" with the author, sociologist Judith Stacey",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F37795.mp3,/programs/discussing-book-name-family-rethinking-family-values-postmodern-age-author-sociologist,,"Aug. 27, 1997",1 sound tape reel (ca. 52.46 min.) : 10 1/2 in.,"53 minutes, 34 seconds",WAV,The Chicago History Museum,English,,1997-08-27,1997.0,8.0,27.0,True
Terkel comments and presents a musical performance by Arthur Lauer and Pat Ferreri,,/programs/terkel-comments-and-presents-musical-performance-arthur-lauer-and-pat-ferreri,Presenting music with flutist and guitarist Arthur Lauer and guitarist Pat Ferreri,"Aug. 27, 1997",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"54 minutes, 59 seconds",WAV,The Chicago History Museum,English,,1997-08-27,1997.0,8.0,27.0,False
James Cameron and Studs Terkel discuss their experience in Lincoln Park and how the peaceful demonstration changed to violence with the use of police tear gas ; part 1,https://s3.amazonaws.com/wfmt-studs-terkel/published%2F21823.mp3,/programs/james-cameron-and-studs-terkel-discuss-their-experience-lincoln-park-and-how-peaceful,Studs Terkel and James Cameron talk about their witness of the peaceful demonstration at Lincoln Park the night before.  They discuss the kind and caring interaction between older adults and the young.  Both reflect on how the event changed from peaceful to somewhat violent when police gathered and used tear gas on the crowd.,"Aug. 28, 1968","1 sound tape reel (ca. 55 min.) : 10 1/2 in., 2 sound tape reels (ca. 60 min.) : 10 1/2 in., 1 sound tape reel (ca. 52.34 min.) : 10 1/2 in. / 1 sound tape reel (ca. 56.00 min.) : 7 in.","53 minutes, 11 seconds",WAV,The Chicago History Museum,English,,1968-08-28,1968.0,8.0,28.0,True
Interview with James Cameron,,/programs/interview-james-cameron-5,Interviewing British journalist James Cameron.,"Aug. 28, 1968","2 sound tape reels (ca. 60 min.) : 10 1/2 in., 1 sound tape reel (ca. 55 min.) : 10 1/2 in.","53 minutes, 13 seconds",WAV,The Chicago History Museum,English,,1968-08-28,1968.0,8.0,28.0,False
Interviewing director Patrick Henry,,/programs/interviewing-director-patrick-henry,"Interviewing director Patrick Henry.
","Aug. 28, 1973",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"55 minutes, 39 seconds",WAV,The Chicago History Museum,English,,1973-08-28,1973.0,8.0,28.0,False
"Billy Taylor discusses the role of playing jazz, being creative in your music, and the expansion of the Jazz Mobile",https://s3.amazonaws.com/wfmt-studs-terkel/published/20078.mp3,/programs/billy-taylor-discusses-role-playing-jazz-being-creative-your-music-and-expansion-jazz,"Studs interviews Billy Taylor (Jazz pianist and commentator for Jazz Alive radio program), who discusses the creativity of jazz musicians, the Jazz Mobile, and relationships between musicians.  Taylor also mentions a large variety of Jazz musician influences.  Studs plays various pieces of Jazz from a diverse pool of musicians.  Taylor provides details about the Jazz Mobile's traveling show and education of Jazz music.  There are no music recordings in this edited version.","Aug. 28, 1980",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,"32 minutes, 3 seconds",WAV,The Chicago History Museum,English,,1980-08-28,1980.0,8.0,28.0,True
Discussing jazz and interviewing Billy Taylor,,/programs/discussing-jazz-and-interviewing-billy-taylor,"Studs interviewing Billy Taylor discussing the creativity of his jazz colleagues and influences such as, Art Tatum, Nat Cole, Lester Young, Bud Freeman, Mil Jackson, Duke Ellington, and Earl Heinz, Nat Cole.","Aug. 28, 1980",1 sound tape reel (ca. 60 min.) : 10 1/2 in.,1 second,WAV,The Chicago History Museum,English,,1980-08-28,1980.0,8.0,28.0,False
Interviewing Susan Nussbaum and Michael Pachovas,https://wfmt-studs-terkel.s3.amazonaws.com/published%2F56088.mp3,/programs/interviewing-susan-nussbaum-and-michael-pachovas,"Susan Nussbaum, founder of Access Living and Michael Pachovas founder of Disabled Prisoners Program discuss the upcoming Disabled Americans Freedom Rally in the backdrop of the International Year of the Disabled Persons and President Reagan's budget cuts.  Society needs to understand that expenditures are required to secure the rights of disabled people to live active, productive lives.  They need to be able to get out of their apartment buildings or homes, travel on sidewalks and ride buses.  That may require access ramps, working elevators, cut curbs, and hydraulic buses to lower steps. Disabled people have seen advances in technology, extending their lives but services have not kept up with this need.  Section 504 of the Rehabilitation Act of 1973 which guarantees that there can be no discrimination if you receive Federal funds is in danger of being cut by Reagan budget cuts.  This could jeopardize equal education, receiving social services in a quality fashion, non-discrimination in employment and affirmative action legislation.  The rally is a cause for celebration but also a time to rally disabled citizens to call their legislatures and secure their needed programs.  Disabled people pay taxes and should have access to voting booths.","Aug. 28, 1981",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"51 minutes, 15 seconds",WAV,The Chicago History Museum,English,,1981-08-28,1981.0,8.0,28.0,True
"Discussing Horizons for the Blind with Camille Vogel, the organization's director",,/programs/discussing-horizons-blind-camille-vogel-organizations-director,"Horizons for the Blind works to improve the quality of life of visually impaired individuals by increasing accessibility to culture, education, recreation, and employment.","Aug. 28, 1984",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 1 second",WAV,The Chicago History Museum,English,,1984-08-28,1984.0,8.0,28.0,False
Patricia Bosworth discusses the life and legacy of Diane Arbus,,/programs/patricia-bosworth-discusses-life-and-legacy-diane-arbus,"Discussing American photographer Diane Arbus (the first American photographer to have photographs displayed at the Venice Biennale) with Patricia Bosworth, author of Diane Arbus: A Biography, published in 1985.","Aug. 28, 1984",1 sound tape reel (ca. 52.08 min.) : 10 1/2 in.,"52 minutes, 16 seconds",WAV,The Chicago History Museum,English,,1984-08-28,1984.0,8.0,28.0,False
"Interviewing with and listening to a performance of ""Playsong"" by Jackie Taylor; playwright, actress, and Artistic Director of the Black Ensemble Theater",,/programs/interviewing-and-listening-performance-playsong-jackie-taylor-playwright-actress-and,,"Aug. 28, 1985",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"41 minutes, 47 seconds",WAV,The Chicago History Museum,English,,1985-08-28,1985.0,8.0,28.0,False
"Tom Geoghegan discusses his book ""Which Side Are You On?""",,/programs/tom-geoghegan-discusses-his-book-which-side-are-you,"The book, ""Which Side Are You On?: Trying to be for Labor When it's Flat on its Back,""  is Tom Geoghegan's story of working with the labor unions in the 1960's and the 1970's. Goeghegan said the current standard of living is flat or falling which wasn't the case when organized labor unions were present in the 50's and 60's. We're all in trouble, all of us, if labor declines, explained Goeghegan.","Aug. 28, 1991",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"52 minutes, 27 seconds",WAV,The Chicago History Museum,English,,1991-08-28,1991.0,8.0,28.0,False
Discussing the history of the Tango with Dr. Samuel Borushek,https://wfmt-studs-terkel.s3.amazonaws.com/published/58778.mp3,/programs/discussing-history-tango-dr-samuel-borushek,,"Aug. 28, 1996",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"33 minutes, 38 seconds",WAV,The Chicago History Museum,English,,1996-08-28,1996.0,8.0,28.0,True
Interviewing Rahul Barpute ; part 1,https://wfmt-studs-terkel.s3.amazonaws.com/published/42564.mp3,/programs/interviewing-rahul-barpute-part-1,,"Aug. 29, 1963",2 sound tape reels (ca. 43.30 min.): 7 in.,"30 minutes, 23 seconds",WAV,The Chicago History Museum,English,,1963-08-29,1963.0,8.0,29.0,True
Rahul Barpute discusses his career and life experiences ; part 2,https://wfmt-studs-terkel.s3.amazonaws.com/published/42561.mp3,/programs/rahul-barpute-discusses-his-career-and-life-experiences-part-2,"Actor and editor of the newspaper Majhi Kahani, Rahul Barapute discusses his first impressions and experiences in the United States.","Aug. 29, 1963",2 sound tape reels (ca. 43.30 min.): 7 in.,"12 minutes, 53 seconds",,The Chicago History Museum,,,1963-08-29,1963.0,8.0,29.0,True
"Interviewing peace and political activists Jean, Joe and Joey Gump",https://wfmt-studs-terkel.s3.amazonaws.com/published%2F36725.mp3,/programs/interviewing-peace-and-political-activists-jean-joe-and-joey-gump,,"Aug. 29, 1986",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"53 minutes, 5 seconds",WAV,The Chicago History Museum,English,,1986-08-29,1986.0,8.0,29.0,True
"Stan Getz, Penny Tyler in conversation with Studs Terkel",,/programs/stan-getz-penny-tyler-conversation-studs-terkel,Interviewing tenor saxophonist Stan Getz and jazz promoter and critic Penny Tyler.,"Aug. 29, 1988",1 sound tape reel (ca. 55 min.) : 10 1/2 in.,"58 minutes, 54 seconds",WAV,The Chicago History Museum,English,,1988-08-29,1988.0,8.0,29.0,False
